paper_id,venue_id,venue_name,year,year_status,title,authors,track,session,paper_type,doi,acm_url,ieee_url,openreview_url,arxiv_url,dblp_url,official_url,proceedings_url,pdf_url,source_title,source_url,source_type,source_priority,verification_status,confidence,topic_primary,topic_secondary,topic_tags,topic_cluster_id,topic_cluster_label,topic_cluster_status,topic_notes,artifact_url,code_url,dataset_url,award_refs,representative_role,representative_score,representative_reason,include_in_report,missing_fields,notes
JSSC-2016-P0011,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A 128 Gb 3b/cell V-NAND Flash Memory With 1 Gb/s I/O Rate,Woopyo Jeong|Jae-Woo Im|Doo-Hyun Kim|Sangwan Nam|Dong-Kyo Shim|Myung-Hoon Choi|Hyun-Jun Yoon|Dae-Han Kim|Youse Kim|Hyun Wook Park|Dong-Hun Kwak|Sang-Won Park|Seok-Min Yoon|Wook-Ghee Hahn|Jinho Ryu|Sang-Won Shim|Kyung-Tae Kang|Jeong-Don Ihm|In-Mo Kim|Doosub Lee|Ji-Ho Cho|Moosung Kim|Jae-hoon Jang|Sang-Won Hwang|Dae-Seok Byeon|Hyang-Ja Yang|Ki-Tae Park|Kyehyun Kyung|Jeong-Hyuk Choi,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2474117,,,,,https://dblp.org/db/journals/jssc/jssc51.html#JeongIKNSCYKKPK16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#JeongIKNSCYKKPK16,bib_index,secondary,needs_review,medium,JSSC-B02,converter/memory/power IP background,converter/memory/power_IP_background,JSSC-C91,"Converter, memory, power-management, and storage IP background",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/JeongIKNSCYKKPK16; pages=204-212; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2474117
JSSC-2016-P0012,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A 28 nm Embedded Split-Gate MONOS (SG-MONOS) Flash Macro for Automotive Achieving 6.4 GB/s Read Throughput by 200 MHz No-Wait Read Operation and 2.0 MB/s Write Throughput at Tj of 170°C,Yasuhiko Taito|Takashi Kono|Masaya Nakano|Tomoya Saito|Takashi Ito|Kenji Noguchi|Hideto Hidaka|Tadaaki Yamauchi,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2467186,,,,,https://dblp.org/db/journals/jssc/jssc51.html#TaitoKNSINHY16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#TaitoKNSINHY16,bib_index,secondary,needs_review,medium,JSSC-B02,converter/memory/power IP background,converter/memory/power_IP_background,JSSC-C91,"Converter, memory, power-management, and storage IP background",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/TaitoKNSINHY16; pages=213-221; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2467186
JSSC-2016-P0013,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,"A 0.6 V, 1.5 GHz 84 Mb SRAM in 14 nm FinFET CMOS Technology With Capacitive Charge-Sharing Write Assist Circuitry",Eric Karl|Zheng Guo|James W. Conary|Jeffrey L. Miller|Yong-Gee Ng|Satyanand Nalam|Daeyeon Kim|John Keane 0001|Xiaofei Wang|Uddalak Bhattacharya|Kevin Zhang 0001,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2461592,,,,,https://dblp.org/db/journals/jssc/jssc51.html#KarlGCMNNKKWBZ16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#KarlGCMNNKKWBZ16,bib_index,secondary,needs_review,medium,JSSC-B02,converter/memory/power IP background,converter/memory/power_IP_background,JSSC-C91,"Converter, memory, power-management, and storage IP background",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/KarlGCMNNKKWBZ16; pages=222-229; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2461592
JSSC-2016-P0014,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A 14 nm 1.1 Mb Embedded DRAM Macro With 1 ns Access,Gregory Fredeman|Donald W. Plass|Abraham Mathews|Janakiraman Viraraghavan|Kenneth Reyer|Thomas J. Knips|Thomas Miller|Elizabeth L. Gerhard|Dinesh Kannambadi|Chris Paone|Dongho Lee|Daniel Rainey 0002|Michael A. Sperling|Michael Whalen|Steven Burns 0001|Rajesh Reddy Tummuru|Herbert Ho|Alberto Cestero|Norbert Arnold|Babar A. Khan|Toshiaki Kirihata|Subramanian S. Iyer,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2456873,,,,,https://dblp.org/db/journals/jssc/jssc51.html#FredemanPMVRKMG16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#FredemanPMVRKMG16,bib_index,secondary,needs_review,medium,JSSC-B02,converter/memory/power IP background,converter/memory/power_IP_background,JSSC-C91,"Converter, memory, power-management, and storage IP background",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/FredemanPMVRKMG16; pages=230-239; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2456873
JSSC-2016-P0015,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A 0.20 mm2 3 nW Signal Acquisition IC for Miniature Sensor Nodes in 65 nm CMOS,Pieter Harpe|Hao Gao 0001|Rainier van Dommele|Eugenio Cantatore|Arthur H. M. van Roermund,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2487270,,,,,https://dblp.org/db/journals/jssc/jssc51.html#HarpeGDCR16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#HarpeGDCR16,bib_index,secondary,needs_review,medium,T12,general solid-state circuit,solid_state_circuit,JSSC-C00,General solid-state circuits and systems,provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/HarpeGDCR16; pages=240-248; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2487270
JSSC-2016-P0016,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A NEMS-Array Control IC for Subattogram Mass Sensing Applications in 28 nm CMOS Technology,Nicolas Delorme|Christophe Le Blanc|Alessandro Dezzani|Mickael Bely|Alexandre Ferret|Simon Laminette|Jerome Roudier|Éric Colinet,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2492782,,,,,https://dblp.org/db/journals/jssc/jssc51.html#DelormeBDBFLRC16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#DelormeBDBFLRC16,bib_index,secondary,needs_review,medium,T12,general solid-state circuit,solid_state_circuit,JSSC-C00,General solid-state circuits and systems,provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/DelormeBDBFLRC16; pages=249-258; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2492782
JSSC-2016-P0017,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A Portable Micro Gas Chromatography System for Lung Cancer Associated Volatile Organic Compound Detection,Te-Hsuen Tzeng|Chun-Yen Kuo|San-Yuan Wang|Po-Kai Huang|Yen-Ming Huang|Wei-Che Hsieh|Yu-Jie Huang|Po-Hung Kuo|Shih-An Yu|Si-Chen Lee|Yufeng Jane Tseng|Wei-Cheng Tian|Shey-Shi Lu,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2489839,,,,,https://dblp.org/db/journals/jssc/jssc51.html#TzengKWHHHHKYLT16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#TzengKWHHHHKYLT16,bib_index,secondary,needs_review,medium,T12,general solid-state circuit,solid_state_circuit,JSSC-C00,General solid-state circuits and systems,provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/TzengKWHHHHKYLT16; pages=259-272; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2489839
JSSC-2016-P0018,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,An Ultra-Thin Flexible CMOS Stress Sensor Demonstrated on an Adaptive Robotic Gripper,Yigit Mahsereci|Stefan Saller|Harald Richter 0001|Joachim N. Burghartz,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2498183,,,,,https://dblp.org/db/journals/jssc/jssc51.html#MahsereciS0B16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#MahsereciS0B16,bib_index,secondary,needs_review,medium,T12,general solid-state circuit,solid_state_circuit,JSSC-C00,General solid-state circuits and systems,provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/MahsereciS0B16; pages=273-280; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2498183
JSSC-2016-P0019,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,A Large-Area Image Sensing and Detection System Based on Embedded Thin-Film Classifiers,Warren Rieutort-Louis|Tiffany Moy|Zhuo Wang 0001|Sigurd Wagner|James C. Sturm|Naveen Verma,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2489842,,,,,https://dblp.org/db/journals/jssc/jssc51.html#Rieutort-LouisM16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#Rieutort-LouisM16,bib_index,secondary,needs_review,medium,T12,general solid-state circuit,solid_state_circuit,JSSC-C00,General solid-state circuits and systems,provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/Rieutort-LouisM16; pages=281-290; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2489842
JSSC-2016-P0020,JSSC,IEEE Journal of Solid-State Circuits,2016,complete,"A 90 nm CMOS, 6µW Power-Proportional Acoustic Sensing Frontend for Voice Activity Detection",Komail M. H. Badami|Steven Lauwereins|Wannes Meert|Marian Verhelst,Journal,Vol. 51 No. 1,journal_article,10.1109/JSSC.2015.2487276,,,,,https://dblp.org/db/journals/jssc/jssc51.html#BadamiLMV16,,,,DBLP JSSC Volume 51,https://dblp.org/db/journals/jssc/jssc51.html#BadamiLMV16,bib_index,secondary,needs_review,medium,JSSC-T08,edge tinyML and biomedical sensor SoC,tinyml|biomedical|audio|wearable,JSSC-C08,"TinyML, audio, biomedical, sensor-interface, and edge embedded SoC",provisional,Subagent-reviewed title-level provisional cluster over DBLP JSSC metadata; no batch abstract/keyword/affiliation graph.,,,,,none,,,no,,DBLP key=journals/jssc/BadamiLMV16; pages=291-302; DOI/publisher URL=https://doi.org/10.1109/JSSC.2015.2487276
